nm, %T
1582.000000, 83.879724
1581.000000, 83.851208
1580.000000, 83.830717
1579.000000, 83.805802
1578.000000, 83.788085
1577.000000, 83.764315
1576.000000, 83.741351
1575.000000, 83.719407
1574.000000, 83.680724
1573.000000, 83.663228
1572.000000, 83.639374
1571.000000, 83.614309
1570.000000, 83.601758
1569.000000, 83.575321
1568.000000, 83.552364
1567.000000, 83.522191
1566.000000, 83.485354
1565.000000, 83.473204
1564.000000, 83.443043
1563.000000, 83.418854
1562.000000, 83.403608
1561.000000, 83.383934
1560.000000, 83.359127
1559.000000, 83.345526
1558.000000, 83.317286
1557.000000, 83.291219
1556.000000, 83.261258
1555.000000, 83.245621
1554.000000, 83.214830
1553.000000, 83.198552
1552.000000, 83.174088
1551.000000, 83.145044
1550.000000, 83.128501
1549.000000, 83.116289
1548.000000, 83.085851
1547.000000, 83.060707
1546.000000, 83.036429
1545.000000, 83.016260
1544.000000, 82.993803
1543.000000, 82.956832
1542.000000, 82.951782
1541.000000, 82.943409
1540.000000, 82.907693
1539.000000, 82.873607
1538.000000, 82.839128
1537.000000, 82.833049
1536.000000, 82.815871
1535.000000, 82.788718
1534.000000, 82.761983
1533.000000, 82.737099
1532.000000, 82.728999
1531.000000, 82.687252
1530.000000, 82.649104
1529.000000, 82.646574
1528.000000, 82.635426
1527.000000, 82.597536
1526.000000, 82.549708
1525.000000, 82.528973
1524.000000, 82.519832
1523.000000, 82.474876
1522.000000, 82.459806
1521.000000, 82.446623
1520.000000, 82.406407
1519.000000, 82.368339
1518.000000, 82.348793
1517.000000, 82.342064
1516.000000, 82.315557
1515.000000, 82.279232
1514.000000, 82.241173
1513.000000, 82.214794
1512.000000, 82.206200
1511.000000, 82.192761
1510.000000, 82.166380
1509.000000, 82.124607
1508.000000, 82.082950
1507.000000, 82.058276
1506.000000, 82.048544
1505.000000, 82.026687
1504.000000, 81.997909
1503.000000, 81.979833
1502.000000, 81.965103
1501.000000, 81.937600
1500.000000, 81.909197
1499.000000, 81.887614
1498.000000, 81.864745
1497.000000, 81.837119
1496.000000, 81.803923
1495.000000, 81.769979
1494.000000, 81.750258
1493.000000, 81.732529
1492.000000, 81.705631
