nm, %R
1823.000000, 12.929942
1822.000000, 12.939014
1821.000000, 12.938501
1820.000000, 12.948939
1819.000000, 12.961610
1818.000000, 12.972173
1817.000000, 12.982138
1816.000000, 12.996385
1815.000000, 12.999845
1814.000000, 13.007646
1813.000000, 13.013347
1812.000000, 13.032651
1811.000000, 13.037143
1810.000000, 13.044321
1809.000000, 13.053988
1808.000000, 13.066484
1807.000000, 13.073736
1806.000000, 13.083622
1805.000000, 13.098329
1804.000000, 13.105718
1803.000000, 13.120708
1802.000000, 13.124638
1801.000000, 13.141431
1800.000000, 13.145884
1799.000000, 13.158001
1798.000000, 13.166593
1797.000000, 13.176798
1796.000000, 13.186638
1795.000000, 13.192947
1794.000000, 13.201975
1793.000000, 13.208967
1792.000000, 13.222458
1791.000000, 13.232402
1790.000000, 13.245025
1789.000000, 13.257211
1788.000000, 13.264243
1787.000000, 13.275416
1786.000000, 13.286115
1785.000000, 13.299813
1784.000000, 13.307525
1783.000000, 13.324105
1782.000000, 13.338161
1781.000000, 13.344512
1780.000000, 13.356492
1779.000000, 13.373125
1778.000000, 13.382431
1777.000000, 13.393804
1776.000000, 13.403271
1775.000000, 13.414195
1774.000000, 13.423219
1773.000000, 13.431021
1772.000000, 13.439683
1771.000000, 13.450928
1770.000000, 13.463960
1769.000000, 13.478364
1768.000000, 13.486381
1767.000000, 13.494457
1766.000000, 13.504490
1765.000000, 13.515138
1764.000000, 13.523865
1763.000000, 13.534928
1762.000000, 13.549103
1761.000000, 13.558802
1760.000000, 13.569174
1759.000000, 13.581709
1758.000000, 13.593142
1757.000000, 13.605297
1756.000000, 13.615690
1755.000000, 13.629636
1754.000000, 13.643059
1753.000000, 13.651320
1752.000000, 13.661268
1751.000000, 13.678358
1750.000000, 13.688805
1749.000000, 13.697116
1748.000000, 13.708455
1747.000000, 13.716215
1746.000000, 13.726943
1745.000000, 13.740853
1744.000000, 13.751850
1743.000000, 13.764329
1742.000000, 13.776521
1741.000000, 13.789303
1740.000000, 13.802049
1739.000000, 13.813697
1738.000000, 13.827025
1737.000000, 13.838867
1736.000000, 13.850830
